"V6" "V9" "V10" "V11" "V14"
"145" 4.903 5 403 14.7 11.8
"146" 6.13 5 403 14.7 13.8
"147" 5.628 5 403 14.7 15.6
"148" 4.926 5 403 14.7 14.6
"149" 5.186 5 403 14.7 17.8
"150" 5.597 5 403 14.7 15.4
"151" 6.122 5 403 14.7 21.5
"152" 5.404 5 403 14.7 19.6
"153" 5.012 5 403 14.7 15.3
"154" 5.709 5 403 14.7 19.4
"155" 6.129 5 403 14.7 17
"156" 6.152 5 403 14.7 15.6
"157" 5.272 5 403 14.7 13.1
"158" 6.943 5 403 14.7 41.3
"159" 6.066 5 403 14.7 24.3
"160" 6.51 5 403 14.7 23.3
"161" 6.25 5 403 14.7 27
"162" 7.489 5 403 14.7 50
"163" 7.802 5 403 14.7 50
"164" 8.375 5 403 14.7 50
"165" 5.854 5 403 14.7 22.7
"166" 6.101 5 403 14.7 25
"167" 7.929 5 403 14.7 50
"168" 5.877 5 403 14.7 23.8
"169" 6.319 5 403 14.7 23.8
"170" 6.402 5 403 14.7 22.3
"171" 5.875 5 403 14.7 17.4
"172" 5.88 5 403 14.7 19.1
"173" 5.572 5 296 16.6 23.1
"174" 6.416 5 296 16.6 23.6
"175" 5.859 5 296 16.6 22.6
"176" 6.546 5 296 16.6 29.4
"177" 6.02 5 296 16.6 23.2
"178" 6.315 5 296 16.6 24.6
"179" 6.86 5 296 16.6 29.9
"180" 6.98 3 193 17.8 37.2
"181" 7.765 3 193 17.8 39.8
"182" 6.144 3 193 17.8 36.2
"183" 7.155 3 193 17.8 37.9
"184" 6.563 3 193 17.8 32.5
"185" 5.604 3 193 17.8 26.4
"186" 6.153 3 193 17.8 29.6
"187" 7.831 3 193 17.8 50
"188" 6.782 5 398 15.2 32
"189" 6.556 5 398 15.2 29.8
"190" 7.185 5 398 15.2 34.9
"191" 6.951 5 398 15.2 37
"192" 6.739 5 398 15.2 30.5
"193" 7.178 5 398 15.2 36.4
"194" 6.8 1 265 15.6 31.1
"195" 6.604 1 265 15.6 29.1
"196" 7.875 4 255 14.4 50
"197" 7.287 2 329 12.6 33.3
"198" 7.107 2 329 12.6 30.3
"199" 7.274 2 329 12.6 34.6
"200" 6.975 3 402 17 34.9
"201" 7.135 3 402 17 32.9
"202" 6.162 2 348 14.7 24.1
"203" 7.61 2 348 14.7 42.3
"204" 7.853 4 224 14.7 48.5
"205" 8.034 4 224 14.7 50
"206" 5.891 4 277 18.6 22.6
"207" 6.326 4 277 18.6 24.4
"208" 5.783 4 277 18.6 22.5
"209" 6.064 4 277 18.6 24.4
"210" 5.344 4 277 18.6 20
"211" 5.96 4 277 18.6 21.7
"212" 5.404 4 277 18.6 19.3
"213" 5.807 4 277 18.6 22.4
"214" 6.375 4 277 18.6 28.1
"215" 5.412 4 277 18.6 23.7
"216" 6.182 4 277 18.6 25
"217" 5.888 5 276 16.4 23.3
"218" 6.642 5 276 16.4 28.7
"219" 5.951 5 276 16.4 21.5
"220" 6.373 5 276 16.4 23
"221" 6.951 8 307 17.4 26.7
"222" 6.164 8 307 17.4 21.7
"223" 6.879 8 307 17.4 27.5
"224" 6.618 8 307 17.4 30.1
"225" 8.266 8 307 17.4 44.8
"226" 8.725 8 307 17.4 50
"227" 8.04 8 307 17.4 37.6
"228" 7.163 8 307 17.4 31.6
"229" 7.686 8 307 17.4 46.7
"230" 6.552 8 307 17.4 31.5
"231" 5.981 8 307 17.4 24.3
"232" 7.412 8 307 17.4 31.7
"233" 8.337 8 307 17.4 41.7
"234" 8.247 8 307 17.4 48.3
"235" 6.726 8 307 17.4 29
"236" 6.086 8 307 17.4 24
"237" 6.631 8 307 17.4 25.1
"238" 7.358 8 307 17.4 31.5
"239" 6.481 6 300 16.6 23.7
"240" 6.606 6 300 16.6 23.3
"241" 6.897 6 300 16.6 22
"242" 6.095 6 300 16.6 20.1
"243" 6.358 6 300 16.6 22.2
"244" 6.393 6 300 16.6 23.7
"245" 5.593 7 330 19.1 17.6
"246" 5.605 7 330 19.1 18.5
"247" 6.108 7 330 19.1 24.3
"248" 6.226 7 330 19.1 20.5
"249" 6.433 7 330 19.1 24.5
"250" 6.718 7 330 19.1 26.2
"251" 6.487 7 330 19.1 24.4
"252" 6.438 7 330 19.1 24.8
"253" 6.957 7 330 19.1 29.6
"254" 8.259 7 330 19.1 42.8
"255" 6.108 1 315 16.4 21.9
"256" 5.876 1 315 16.4 20.9
"257" 7.454 3 244 15.9 44
"258" 8.704 5 264 13 50
"259" 7.333 5 264 13 36
"260" 6.842 5 264 13 30.1
"261" 7.203 5 264 13 33.8
"262" 7.52 5 264 13 43.1
"263" 8.398 5 264 13 48.8
"264" 7.327 5 264 13 31
"265" 7.206 5 264 13 36.5
"266" 5.56 5 264 13 22.8
"267" 7.014 5 264 13 30.7
"268" 8.297 5 264 13 50
"269" 7.47 5 264 13 43.5
"270" 5.92 3 223 18.6 20.7
"271" 5.856 3 223 18.6 21.1
"272" 6.24 3 223 18.6 25.2
"273" 6.538 3 223 18.6 24.4
"274" 7.691 3 223 18.6 35.2
"275" 6.758 4 254 17.6 32.4
"276" 6.854 4 254 17.6 32
"277" 7.267 4 254 17.6 33.2
"278" 6.826 4 254 17.6 33.1
"279" 6.482 4 254 17.6 29.1
"280" 6.812 5 216 14.9 35.1
"281" 7.82 5 216 14.9 45.4
"282" 6.968 5 216 14.9 35.4
"283" 7.645 5 216 14.9 46
"284" 7.923 1 198 13.6 50
"285" 7.088 1 285 15.3 32.2
"286" 6.453 1 300 15.3 22
"287" 6.23 1 241 18.2 20.1
"288" 6.209 6 293 16.6 23.2
"289" 6.315 6 293 16.6 22.3
"290" 6.565 6 293 16.6 24.8
"291" 6.861 4 245 19.2 28.5
"292" 7.148 4 245 19.2 37.3
"293" 6.63 4 245 19.2 27.9
"294" 6.127 4 289 16 23.9
"295" 6.009 4 289 16 21.7
"296" 6.678 4 289 16 28.6
"297" 6.549 4 289 16 27.1
"298" 5.79 4 289 16 20.3
"299" 6.345 5 358 14.8 22.5
"300" 7.041 5 358 14.8 29
"301" 6.871 5 358 14.8 24.8
"302" 6.59 7 329 16.1 22
"303" 6.495 7 329 16.1 26.4
"304" 6.982 7 329 16.1 33.1
"305" 7.236 7 222 18.4 36.1
"306" 6.616 7 222 18.4 28.4
"307" 7.42 7 222 18.4 33.4
"308" 6.849 7 222 18.4 28.2
"309" 6.635 4 304 18.4 22.8
"310" 5.972 4 304 18.4 20.3
"311" 4.973 4 304 18.4 16.1
"312" 6.122 4 304 18.4 22.1
"313" 6.023 4 304 18.4 19.4
"314" 6.266 4 304 18.4 21.6
"315" 6.567 4 304 18.4 23.8
"316" 5.705 4 304 18.4 16.2
"317" 5.914 4 304 18.4 17.8
"318" 5.782 4 304 18.4 19.8
"319" 6.382 4 304 18.4 23.1
"320" 6.113 4 304 18.4 21
"321" 6.426 5 287 19.6 23.8
"322" 6.376 5 287 19.6 23.1
"323" 6.041 5 287 19.6 20.4
"324" 5.708 5 287 19.6 18.5
"325" 6.415 5 287 19.6 25
"326" 6.431 5 287 19.6 24.6
"327" 6.312 5 287 19.6 23
"328" 6.083 5 287 19.6 22.2
"329" 5.868 4 430 16.9 19.3
"330" 6.333 4 430 16.9 22.6
"331" 6.144 4 430 16.9 19.8
"332" 5.706 1 304 16.9 17.1
"333" 6.031 1 304 16.9 19.4
"334" 6.316 5 224 20.2 22.2
"335" 6.31 5 224 20.2 20.7
"336" 6.037 5 224 20.2 21.1
"337" 5.869 5 224 20.2 19.5
"338" 5.895 5 224 20.2 18.5
"339" 6.059 5 224 20.2 20.6
"340" 5.985 5 224 20.2 19
"341" 5.968 5 224 20.2 18.7
"342" 7.241 1 284 15.5 32.7
"343" 6.54 1 422 15.9 16.5
"344" 6.696 5 370 17.6 23.9
"345" 6.874 5 370 17.6 31.2
"346" 6.014 3 352 18.8 17.5
"347" 5.898 3 352 18.8 17.2
"348" 6.516 4 351 17.9 23.1
"349" 6.635 4 280 17 24.5
"350" 6.939 1 335 19.7 26.6
"351" 6.49 1 335 19.7 22.9
"352" 6.579 4 411 18.3 24.1
"353" 5.884 4 411 18.3 18.6
"354" 6.728 5 187 17 30.1
"355" 5.663 4 334 22 18.2
"356" 5.936 4 334 22 20.6
"357" 6.212 24 666 20.2 17.8
"358" 6.395 24 666 20.2 21.7
"359" 6.127 24 666 20.2 22.7
"360" 6.112 24 666 20.2 22.6
"361" 6.398 24 666 20.2 25
"362" 6.251 24 666 20.2 19.9
"363" 5.362 24 666 20.2 20.8
"364" 5.803 24 666 20.2 16.8
"365" 8.78 24 666 20.2 21.9
"366" 3.561 24 666 20.2 27.5
"367" 4.963 24 666 20.2 21.9
"368" 3.863 24 666 20.2 23.1
"369" 4.97 24 666 20.2 50
"370" 6.683 24 666 20.2 50
"371" 7.016 24 666 20.2 50
"372" 6.216 24 666 20.2 50
"373" 5.875 24 666 20.2 50
"374" 4.906 24 666 20.2 13.8
"375" 4.138 24 666 20.2 13.8
"376" 7.313 24 666 20.2 15
"377" 6.649 24 666 20.2 13.9
"378" 6.794 24 666 20.2 13.3
"379" 6.38 24 666 20.2 13.1
"380" 6.223 24 666 20.2 10.2
"381" 6.968 24 666 20.2 10.4
"382" 6.545 24 666 20.2 10.9
"383" 5.536 24 666 20.2 11.3
"384" 5.52 24 666 20.2 12.3
"385" 4.368 24 666 20.2 8.8
"386" 5.277 24 666 20.2 7.2
"387" 4.652 24 666 20.2 10.5
"388" 5 24 666 20.2 7.4
"389" 4.88 24 666 20.2 10.2
"390" 5.39 24 666 20.2 11.5
"391" 5.713 24 666 20.2 15.1
"392" 6.051 24 666 20.2 23.2
"393" 5.036 24 666 20.2 9.7
"394" 6.193 24 666 20.2 13.8
"395" 5.887 24 666 20.2 12.7
"396" 6.471 24 666 20.2 13.1
"397" 6.405 24 666 20.2 12.5
"398" 5.747 24 666 20.2 8.5
"399" 5.453 24 666 20.2 5
"400" 5.852 24 666 20.2 6.3
"401" 5.987 24 666 20.2 5.6
"402" 6.343 24 666 20.2 7.2
"403" 6.404 24 666 20.2 12.1
"404" 5.349 24 666 20.2 8.3
"405" 5.531 24 666 20.2 8.5
"406" 5.683 24 666 20.2 5
"407" 4.138 24 666 20.2 11.9
"408" 5.608 24 666 20.2 27.9
"409" 5.617 24 666 20.2 17.2
"410" 6.852 24 666 20.2 27.5
"411" 5.757 24 666 20.2 15
"412" 6.657 24 666 20.2 17.2
"413" 4.628 24 666 20.2 17.9
"414" 5.155 24 666 20.2 16.3
"415" 4.519 24 666 20.2 7
"416" 6.434 24 666 20.2 7.2
"417" 6.782 24 666 20.2 7.5
"418" 5.304 24 666 20.2 10.4
"419" 5.957 24 666 20.2 8.8
"420" 6.824 24 666 20.2 8.4
"421" 6.411 24 666 20.2 16.7
"422" 6.006 24 666 20.2 14.2
"423" 5.648 24 666 20.2 20.8
"424" 6.103 24 666 20.2 13.4
"425" 5.565 24 666 20.2 11.7
"426" 5.896 24 666 20.2 8.3
"427" 5.837 24 666 20.2 10.2
"428" 6.202 24 666 20.2 10.9
"429" 6.193 24 666 20.2 11
"430" 6.38 24 666 20.2 9.5
"431" 6.348 24 666 20.2 14.5
"432" 6.833 24 666 20.2 14.1
"433" 6.425 24 666 20.2 16.1
"434" 6.436 24 666 20.2 14.3
"435" 6.208 24 666 20.2 11.7
"436" 6.629 24 666 20.2 13.4
"437" 6.461 24 666 20.2 9.6
"438" 6.152 24 666 20.2 8.7
"439" 5.935 24 666 20.2 8.4
"440" 5.627 24 666 20.2 12.8
"441" 5.818 24 666 20.2 10.5
"442" 6.406 24 666 20.2 17.1
"443" 6.219 24 666 20.2 18.4
"444" 6.485 24 666 20.2 15.4
"445" 5.854 24 666 20.2 10.8
"446" 6.459 24 666 20.2 11.8
"447" 6.341 24 666 20.2 14.9
"448" 6.251 24 666 20.2 12.6
"449" 6.185 24 666 20.2 14.1
"450" 6.417 24 666 20.2 13
"451" 6.749 24 666 20.2 13.4
"452" 6.655 24 666 20.2 15.2
"453" 6.297 24 666 20.2 16.1
"454" 7.393 24 666 20.2 17.8
"455" 6.728 24 666 20.2 14.9
"456" 6.525 24 666 20.2 14.1
"457" 5.976 24 666 20.2 12.7
"458" 5.936 24 666 20.2 13.5
"459" 6.301 24 666 20.2 14.9
"460" 6.081 24 666 20.2 20
"461" 6.701 24 666 20.2 16.4
"462" 6.376 24 666 20.2 17.7
"463" 6.317 24 666 20.2 19.5
"464" 6.513 24 666 20.2 20.2
"465" 6.209 24 666 20.2 21.4
"466" 5.759 24 666 20.2 19.9
"467" 5.952 24 666 20.2 19
"468" 6.003 24 666 20.2 19.1
"469" 5.926 24 666 20.2 19.1
"470" 5.713 24 666 20.2 20.1
"471" 6.167 24 666 20.2 19.9
"472" 6.229 24 666 20.2 19.6
"473" 6.437 24 666 20.2 23.2
"474" 6.98 24 666 20.2 29.8
"475" 5.427 24 666 20.2 13.8
"476" 6.162 24 666 20.2 13.3
"477" 6.484 24 666 20.2 16.7
"478" 5.304 24 666 20.2 12
"479" 6.185 24 666 20.2 14.6
"480" 6.229 24 666 20.2 21.4
"481" 6.242 24 666 20.2 23
"482" 6.75 24 666 20.2 23.7
"483" 7.061 24 666 20.2 25
"484" 5.762 24 666 20.2 21.8
"485" 5.871 24 666 20.2 20.6
"486" 6.312 24 666 20.2 21.2
"487" 6.114 24 666 20.2 19.1
"488" 5.905 24 666 20.2 20.6
"489" 5.454 4 711 20.1 15.2
"490" 5.414 4 711 20.1 7
"491" 5.093 4 711 20.1 8.1
"492" 5.983 4 711 20.1 13.6
"493" 5.983 4 711 20.1 20.1
"494" 5.707 6 391 19.2 21.8
"495" 5.926 6 391 19.2 24.5
"496" 5.67 6 391 19.2 23.1
"497" 5.39 6 391 19.2 19.7
"498" 5.794 6 391 19.2 18.3
"499" 6.019 6 391 19.2 21.2
"500" 5.569 6 391 19.2 17.5
"501" 6.027 6 391 19.2 16.8
"502" 6.593 1 273 21 22.4
"503" 6.12 1 273 21 20.6
"504" 6.976 1 273 21 23.9
"505" 6.794 1 273 21 22
"506" 6.03 1 273 21 11.9
